ID	Gene	Protein	Category	Sub-category	Pathway/Activity	EC	KO	UniProt
AF-E1CIA4-F1-model_v4	DZR	Daidzein reductase	Carbon cycling	Polyphenol (Flavonoids) cycling	isoflavonoid conversion	-	K26069	E1CIA4
AF-F7V1S3-F1-model_v4	TDR	FAD-dependent oxidoreductase 2 FAD binding domain-containing protein	Carbon cycling	Polyphenol (Flavonoids) cycling	isoflavonoid conversion	-	K26071	F7V1S3
AF-E7FL41-F1-model_v4	DDR	Dihydrodaidzein reductase	Carbon cycling	Polyphenol (Flavonoids) cycling	isoflavonoid conversion	-	K26070	E7FL41
AF-I7H868-F1-model_v4	DDRC	Dihydrodaizein racemase	Carbon cycling	Polyphenol (Flavonoids) cycling	isoflavonoid conversion	-	K26175	I7H868
AF-D8J0W9-F1-model_v4	FdeE	FAD-dependent 2-polyprenyl-6-methoxyphenol hydroxylase protein	Carbon cycling	Polyphenol (Flavonoids) cycling	naringenin degradation	-	K26180	D8J0W9
AF-D8J0W7-F1-model_v4	FdeC	Glyoxalase II protein	Carbon cycling	Polyphenol (Flavonoids) cycling	naringenin degradation	-	K26181	D8J0W7
AF-D8J0W8-F1-model_v4	fdeD	Naringenin degradation protein FdeD	Carbon cycling	Polyphenol (Flavonoids) cycling	naringenin degradation	-	K26179	D8J0W8
AF-D8J0X2-F1-model_v4	fdeH	Naringenin degradation protein FdeH	Carbon cycling	Polyphenol (Flavonoids) cycling	naringenin degradation	-	K26182	D8J0X2
AF-D8J0X4-F1-model_v4	fdeJ	Naringenin degradation protein FdeJ	Carbon cycling	Polyphenol (Flavonoids) cycling	naringenin degradation	-	K26183	D8J0X4
AF-D8J0W6-F1-model_v4	fdeB	Naringenin degradation protein FdeB	Carbon cycling	Polyphenol (Flavonoids) cycling	naringenin degradation	-	K26184	D8J0W6
AF-D8J0X3-F1-model_v4	fdeI	Naringenin degradation protein FdeI	Carbon cycling	Polyphenol (Flavonoids) cycling	naringenin degradation	-	K26185	D8J0X3
AF-P46852-F1-model_v4	queD	Quercetin 2,3-dioxygenase	Carbon cycling	Polyphenol (Flavonoids) cycling	quercetin degradation	1.13.11.24	K07155; K06911	P46852
AF-P78581-F1-model_v4	tanA	Tannase	Carbon cycling	Polyphenol (Hydrolyzable tannin) cycling	hydrolyzable tannin depolymerization	3.1.1.20	K10759	P78581
AF-Q6SSJ6-F1-model_v4	mobA	3-hydroxybenzoate 4-monooxygenase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	3-hydroxybenzoate conversion to protocatechuic acid	1.14.13.23	K19065	Q6SSJ6
AF-G2IQS7-F1-model_v4	ligM	Vanillate/3-O-methylgallate O-demethylase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	3-o-methylgallate coversion to gallate / vanillate conversion to protocatechuate	2.1.1.341	K15066	G2IQS7
AF-Q7WYU8-F1-model_v4	desZ	3-O-methylgallate 3,4-dioxygenase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	3-o-methylgallate degradation	-	K15065	Q7WYU8
AF-Q53005-F1-model_v4	hbaA	4-hydroxybenzoate--CoA/benzoate--CoA ligase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	4-hydroxybenzoate conversion to benzoyl-coa	6.2.1.27; 6.2.1.25	K04105; K20458	Q53005
AF-O33818-F1-model_v4	hcrC	4-hydroxybenzoyl-CoA reductase subunit gamma	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	4-hydroxybenzoate conversion to benzoyl-coa	1.1.7.11	K04107	O33818
AF-O33819-F1-model_v4	hcrA	4-hydroxybenzoyl-CoA reductase subunit alpha	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	4-hydroxybenzoate conversion to benzoyl-coa	1.1.7.11	K04108	O33819
AF-O33820-F1-model_v4	hcrB	4-hydroxybenzoyl-CoA reductase subunit beta	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	4-hydroxybenzoate conversion to benzoyl-coa	1.1.7.11	K04109	O33820
AF-Q6N8N2-F1-model_v4	cyp199A2	Cytochrome p450 CYP199A2	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	4-methoxybenzoate conversion	1.14.99.15	K22553	Q6N8N2
AF-F9US27-F1-model_v4	lpdC	Gallate decarboxylase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	gallate conversion to pyrogallol	4.1.1.59	K22958	F9US27
AF-F9UT67-F1-model_v4	lpdB	Flavin prenyltransferase LpdB	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	gallate conversion to pyrogallol	4.1.1.59	K22959	F9UT67
AF-F9UT68-F1-model_v4	lpdD	Protein LpdD	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	gallate conversion to pyrogallol	4.1.1.59	K22960	F9UT68
AF-Q88JX5-F1-model_v4	galA	Gallate dioxygenase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	gallate degradation	1.13.11.57	K04099	Q88JX5
AF-Q9S3U6-F1-model_v4	genD	Gentisate 1,2 dioxygenase 1	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	gentisic acid degradation route 1	1.13.11.4	K00450	Q9S3U6
AF-Q0QFQ3-F1-model_v4	hbzF	Maleylpyruvate hydrolase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	gentisic acid degradation route 1	3.7.1.23	K20758	Q0QFQ3
AF-O86043-F1-model_v4	nagL	Maleylpyruvate isomerase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	gentisic acid degradation route 2	5.2.1.4	K01801	O86043
AF-O86042-F1-model_v4	nagK	Fumarylpyruvate hydrolase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	gentisic acid degradation route 2	3.7.1.20	K16165	O86042
AF-P22635-F1-model_v4	ligA	Protocatechuate 4,5-dioxygenase alpha chain	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	1.13.11.8	K04100	P22635
AF-P22636-F1-model_v4	ligB	Protocatechuate 4,5-dioxygenase beta chain	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	1.13.11.8	K04101	P22636
AF-G2IQQ8-F1-model_v4	ligK	4-carboxy-4-hydroxy-2-oxoadipate aldolase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	4.1.3.17	K10218	G2IQQ8
AF-G2IQQ5-F1-model_v4	ligJ	2-keto-4-carboxy-3-hexenedioate hydratase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	4.2.1.83	K10220; K16515 	G2IQQ5
AF-O87170-F1-model_v4	ligI	2-pyrone-4,6-dicarboxylate hydrolase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	3.1.1.57	K10221	O87170
AF-Q88JY0-F1-model_v4	galD	4-oxalomesaconate tautomerase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	5.3.2.8	K16514	Q88JY0
AF-P00436-F1-model_v4	pcaG	Protocatechuate 3,4-dioxygenase alpha chain	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	1.13.11.3	K00448	P00436
AF-P20372-F1-model_v4	pcaH	Protocatechuate 3,4-dioxygenase beta chain	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	1.13.11.3	K00449	P20372
AF-P20370-F1-model_v4	pcaC	4-carboxymuconolactone decarboxylase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	4.1.1.44	K01607	P20370
AF-Q59092-F1-model_v4	pcaB	3-carboxy-cis,cis-muconate cycloisomerase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	protocatechuic acid degradation	5.5.1.2	K01857	Q59092
AF-P0A391-F1-model_v4	nahF	Salicylaldehyde dehydrogenase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	salicylaldehyde conversion to salicylate	1.2.1.65	K00152	P0A391
AF-P23262-F1-model_v4	nahG	Salicylate hydroxylase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	salicylic acid conversion to catechol	1.14.13.1	K00480	P23262
AF-Q7X281-F1-model_v4	sdgC	Salicyloyl-CoA 5-hydroxylase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	salicylic acid conversion to gentisic acid route 1	1.14.13.209	K21684	Q7X281
AF-O52380-F1-model_v4	nagH	Salicylate 5-hydroxylase, small oxygenase component	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	salicylic acid conversion to gentisic acid route 2	1.14.13.172	K18242	O52380
AF-G2IJ05-F1-model_v4	desA	Syringate O-demethylase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	syringic acid coversion to 3-o-methylgallate	-	K15064	G2IJ05
AF-O05616-F1-model_v4	vanA	Vanillate O-demethylase oxygenase subunit	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	vanillate conversion to protocatechuate route 1	1.14.13.82	K03862	O05616
AF-O24840-F1-model_v4	vanB	Vanillate O-demethylase oxidoreductase	Carbon cycling	Polyphenol (Hydroxybenzoic acids) cycling	vanillate conversion to protocatechuate route 1	1.14.13.82	K03863	O24840
AF-Q9KWL3-F1-model_v4	ligC	4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase	Carbon cycling	Polyphenol (Hydroxybenzoic acids / Hydroxyphenylacetic acids) cycling	protocatechuic acid / homoprotocatechuic acid degradation	1.1.1.312	K10219 	Q9KWL3
AF-H6LGM8-F1-model_v4	carE	Caffeyl-CoA reductase-Etf complex subunit CarE	Carbon cycling	Polyphenol (Hydroxycinnamic acids) cycling	caffeate respiration	1.3.1.108	K22432	H6LGM8
AF-H6LGM7-F1-model_v4	carD	Caffeyl-CoA reductase-Etf complex subunit CarD	Carbon cycling	Polyphenol (Hydroxycinnamic acids) cycling	caffeate respiration	1.3.1.108	K22431	H6LGM7
AF-H6LGM6-F1-model_v4	carC	Caffeyl-CoA reductase-Etf complex subunit CarC	Carbon cycling	Polyphenol (Hydroxycinnamic acids) cycling	caffeate respiration	1.3.1.108	K22430	H6LGM6
AF-Q9XB60-F1-model_v4	carB	Carboxymethylproline synthase	Carbon cycling	Polyphenol (Hydroxycinnamic acids) cycling	caffeate respiration	1.3.1.108	-	Q9XB60
AF-Q9XB61-F1-model_v4	carA	Carbapenam-3-carboxylate synthase	Carbon cycling	Polyphenol (Hydroxycinnamic acids) cycling	caffeate respiration	1.3.1.108	-	Q9XB61
AF-A7YN26-F1-model_v4	chlE	Chlorogenic acid esterase	Carbon cycling	Polyphenol (Hydroxycinnamic acids) cycling	chlorogenic acid cleavage	3.1.1.42	-	A7YN26
AF-S5M744-F1-model_v4	fcs	Feruloyl-CoA synthase	Carbon cycling	Polyphenol (Hydroxycinnamic acids) cycling	ferulic acid conversion to vanillin	6.2.1.34	K12508	S5M744
AF-Q8RR28-F1-model_v4	ferB	Feruloyl-CoA hydratase/lyase	Carbon cycling	Polyphenol (Hydroxycinnamic acids) cycling	ferulic acid conversion to vanillin	4.1.2.61	K18383 	Q8RR28
AF-Q9RE15-F1-model_v4	hpaB	3,4-dihydroxyphenylacetate 2,3-dioxygenase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	4-hydroxyphenylacetate conversion to homoprotocatechuic acid	1.14.14.9	K00483	Q9RE15
AF-Q88E47-F1-model_v4	hmgA	Homogentisate 1,2-dioxygenase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	homogentisic acid degradation	1.13.11.5	K00451	Q88E47
AF-Q00770-F1-model_v4	FahA	Fumarylacetoacetase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	homogentisic acid degradation	3.7.1.2	K01555	Q00770
AF-F8G0M3-F1-model_v4	maiA	Maleate isomerase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	homogentisic acid degradation	5.2.1.2	K01800	F8G0M3
AF-Q4KKA2-F1-model_v4	gabD	Succinate-semialdehyde dehydrogenase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	homoprotocatechuic acid degradation	1.2.1.16	K00135	Q4KKA2
AF-Q46982-F1-model_v4	hpaH	2-oxo-hept-4-ene-1,7-dioate hydratase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	homoprotocatechuic acid degradation	4.2.1.-	K02509	Q46982
AF-Q47098-F1-model_v4	hpaI	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	homoprotocatechuic acid degradation	4.1.2.52	K02510	Q47098
AF-Q46978-F1-model_v4	hpaG	4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase [Includes: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	homoprotocatechuic acid degradation	4.1.1.68	K05921	Q46978
AF-Q8L3B1-F1-model_v4	padG	NADH-dependent phenylglyoxylate dehydrogenase subunit alpha	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacetate conversion to benzoyl-coa	1.2.1.58	K18355	Q8L3B1
AF-Q8L3A9-F1-model_v4	padI	NADH-dependent phenylglyoxylate dehydrogenase subunit beta	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacetate conversion to benzoyl-coa	1.2.1.58	K18356	Q8L3A9
AF-Q8L3B3-F1-model_v4	padE	NADH-dependent phenylglyoxylate dehydrogenase subunit gamma	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacetate conversion to benzoyl-coa	1.2.1.58	K18357	Q8L3B3
AF-Q8L3B2-F1-model_v4	padF	NADH-dependent phenylglyoxylate dehydrogenase subunit delta	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacetate conversion to benzoyl-coa	1.2.1.58	K18358	Q8L3B2
AF-Q8L3B0-F1-model_v4	padH	NADH-dependent phenylglyoxylate dehydrogenase subunit epsilon	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacetate conversion to benzoyl-coa	1.2.1.58	K18359	Q8L3B0
AF-A0A2R4BIA9-F1-model_v4	padB	Phenylacetyl-CoA:acceptor oxidoreductase-like protein, large subunit PadB	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacetate conversion to benzoyl-coa	1.17.5.1	K18361	A0A2R4BIA9
AF-A0A2R4BI99-F1-model_v4	padC	Phenylacetyl-CoA:acceptor oxidoreductase-like protein, small subunit PadC	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacetate conversion to benzoyl-coa	1.17.5.1	K18362	A0A2R4BI99
AF-A0A2R4BI96-F1-model_v4	padD	Phenylacetyl-CoA:acceptor oxidoreductase membrane subunit PadD	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacetate conversion to benzoyl-coa	1.17.5.1	K18363	A0A2R4BI96
AF-P76083-F1-model_v4	paaH	3-hydroxyadipyl-CoA dehydrogenase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	1.1.1.157	K00074	P76083
AF-Q845K2-F1-model_v4	paaF	Putative enoyl-CoA hydratase I	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	4.2.1.17	K01692	Q845K2
AF-Q9L9C1-F1-model_v4	paaK	Phenylacetate-coenzyme A ligase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	6.2.1.30	K01912	Q9L9C1
AF-Q845J6-F1-model_v4	paaA	Putative ring-oxydation complex protein 1	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	1.14.13.149	K02609	Q845J6
AF-Q845J5-F1-model_v4	paaB	Putative ring-oxydation complex protein 2	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	1.14.13.149	K02610	Q845J5
AF-Q845J4-F1-model_v4	paaC	Putative ring-oxydation complex protein 3	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	1.14.13.149	K02611	Q845J4
AF-Q845J2-F1-model_v4	paaE	Putative ring-oxydation complex protein 5	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	1.14.13.149	K02613	Q845J2
AF-Q845J8-F1-model_v4	paaJ	Putative ketothiolase	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	2.3.1.223	K02615	Q845J8
AF-P77455-F1-model_v4	paaZ	Bifunctional protein PaaZ	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	3.3.2.12	K02618	P77455
AF-Q845K1-F1-model_v4	paaG	Putative enoyl-CoA hydratase II	Carbon cycling	Polyphenol (Hydroxyphenylacetic acids) cycling	phenylacteate degradation	5.3.3.18	K15866	Q845K1
AF-Q55810-F1-model_v4	hppD	4-hydroxyphenylpyruvate dioxygenase	Carbon cycling	Polyphenol (Hydroxyphenylpropanoic acids) cycling	p-hydroxyphenyl conversion to homogentisate	1.13.11.27	K00457	Q55810
AF-Q46980-F1-model_v4	hpaD	3,4-dihydroxyphenylacetate 2,3-dioxygenase	Carbon cycling	Polyphenol (Hydroxyphenylpropanoic acids) cycling	phenylpropionate degradation	1.18.1.3	K00529	Q46980
AF-Q46979-F1-model_v4	hpaE	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	Carbon cycling	Polyphenol (Hydroxyphenylpropanoic acids) cycling	phenylpropionate degradation	1.14.12.19	K05708	Q46979
AF-Q46981-F1-model_v4	hpaF	5-carboxymethyl-2-hydroxymuconate delta-isomerase	Carbon cycling	Polyphenol (Hydroxyphenylpropanoic acids) cycling	phenylpropionate degradation	1.14.12.19	K05709	Q46981
AF-Q57501-F1-model_v4	hpaC	4-hydroxyphenylacetate 3-monooxygenase reductase component	Carbon cycling	Polyphenol (Hydroxyphenylpropanoic acids) cycling	phenylpropionate degradation	-	K05710	Q57501
AF-Q8L386-F1-model_v4	ehyA	Eugenol hydroxylase alpha-subunit	Carbon cycling	Polyphenol (Hydroxyphenylpropenes) cycling	eugenol conversion to coniferyl alcohol	-	-	Q8L386
AF-Q8L385-F1-model_v4	ehyB	Eugenol hydroxylase beta-subunit	Carbon cycling	Polyphenol (Hydroxyphenylpropenes) cycling	eugenol conversion to coniferyl alcohol	-	-	Q8L385
AF-C3VA26-F1-model_v4	iem	Isoeugenol monooxygenase	Carbon cycling	Polyphenol (Hydroxyphenylpropenes) cycling	isoeugenol conversion to vanillin	1.13.11.88	-	C3VA26
AF-P77650-F1-model_v4	hcaD	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component	Carbon cycling	Polyphenol (Hydrxoycinnamic acids) cycling	trans-cinnamate degradation	1.18.1.3	K00529	P77650
AF-P0ABR5-F1-model_v4	hcaE	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha	Carbon cycling	Polyphenol (Hydrxoycinnamic acids) cycling	trans-cinnamate degradation	1.14.12.19	K05708	P0ABR5
AF-Q47140-F1-model_v4	hcaF	3-phenylpropionate/cinnamic acid dioxygenase subunit beta	Carbon cycling	Polyphenol (Hydrxoycinnamic acids) cycling	trans-cinnamate degradation	1.14.12.19	K05709	Q47140
AF-P0ABW0-F1-model_v4	hcaC	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit	Carbon cycling	Polyphenol (Hydrxoycinnamic acids) cycling	trans-cinnamate degradation	-	K05710	P0ABW0
AF-P77397-F1-model_v4	mhpA	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase	Carbon cycling	Polyphenol (Hydrxoycinnamic acids) cycling	trans-cinnamate degradation	1.14.13.127	K05712	P77397
AF-P0CI31-F1-model_v4	hcaB	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	Carbon cycling	Polyphenol (Hydrxoycinnamic acids / Hydroxyphenylpropanoic acids) cycling	trans-cinnamate / phenylpropionate degradation	1.3.1.87	K05711	P0CI31
AF-P0ABR9-F1-model_v4	mhpB	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase	Carbon cycling	Polyphenol (Hydrxoycinnamic acids / Hydroxyphenylpropanoic acids) cycling	trans-cinnamate / phenylpropionate degradation	1.13.11.16	K05713	P0ABR9
AF-P77044-F1-model_v4	mhpC	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	Carbon cycling	Polyphenol (Hydrxoycinnamic acids / Hydroxyphenylpropanoic acids) cycling	trans-cinnamate / phenylpropionate degradation	3.7.1.14	K05714	P77044
AF-G2INY4-F1-model_v4	phcC	Choline dehydrogenase	Carbon cycling	Polyphenol (Lignans) cycling	dehydroconiferyl alcohol conversion	-	-	G2INY4
AF-G2INY6-F1-model_v4	phcD	Choline dehydrogenase	Carbon cycling	Polyphenol (Lignans) cycling	dehydroconiferyl alcohol conversion	-	-	G2INY6
AF-A0A1J1EM40-F1-model_v4	sesA	Sesamin methylene transferase	Carbon cycling	Polyphenol (Lignans) cycling	sesamin conversion	-	K22578	A0A1J1EM40
AF-Q53353-F1-model_v4	lsd	Lignostilbene-alpha,beta-dioxygenase isozyme I	Carbon cycling	Polyphenol (Lignans / Resveratrol) cycling	dehydroconiferyl alcohol conversion / resveratrol conversion to hydroxybenzaldehydes	-	-	Q53353
AF-G2IN04-F1-model_v4	ligXa	5,5'-dehydrodivanillate O-demethylase oxygenase subunit	Carbon cycling	Polyphenol (Lignin) cycling	5,5'-dehydrodivanillate conversion to vanillate	-	K15060	G2IN04
AF-O82834-F1-model_v4	ligZ	Biphenyl ring cleavage enzyme	Carbon cycling	Polyphenol (Lignin) cycling	5,5'-dehydrodivanillate conversion to vanillate	-	K15061	O82834
AF-Q9Z9I9-F1-model_v4	ligY	OH-DDVA meta-cleavage compound hydrolase	Carbon cycling	Polyphenol (Lignin) cycling	5,5'-dehydrodivanillate conversion to vanillate	-	K15062	Q9Z9I9
AF-Q8RJ47-F1-model_v4	ligW	5-carboxyvanillate decarboxylase	Carbon cycling	Polyphenol (Lignin) cycling	5,5'-dehydrodivanillate conversion to vanillate	-	K15063	Q8RJ47
AF-G2IN77-F1-model_v4	ligXc	5,5'-dehydrodivanillate O-demethylase ferredoxin subunit	Carbon cycling	Polyphenol (Lignin) cycling	5,5'-dehydrodivanillate conversion to vanillate	-	K24244	G2IN77
AF-G2ITT5-F1-model_v4	ligXd	5,5'-dehydrodivanillate O-demethylase ferredoxin reductase subunit	Carbon cycling	Polyphenol (Lignin) cycling	5,5'-dehydrodivanillate conversion to vanillate	-	K24245	G2ITT5
AF-P07788-F1-model_v4	cotA	Laccase	Carbon cycling	Polyphenol (Lignin) cycling	Lignin degradation	-	K00421	P07788
AF-P0DMP5-F1-model_v4	calA	Coniferyl-alcohol dehydrogenase	Carbon cycling	Polyphenol (Methoxyphenols) cycling	coniferyl alcohol conversion to ferulic acid	1.1.1.194	-	P0DMP5
AF-O86447-F1-model_v4	calB	Coniferyl aldehyde dehydrogenase	Carbon cycling	Polyphenol (Methoxyphenols) cycling	coniferyl alcohol conversion to ferulic acid	-	K00154; K12355	O86447
AF-P0DPQ7-F1-model_v4	gcoA	Aromatic O-demethylase, cytochrome P450 subunit	Carbon cycling	Polyphenol (Methoxyphenols) cycling	guaiacol conversion to catechol	-	K23526	P0DPQ7
AF-P0DPQ8-F1-model_v4	gcoB	Aromatic O-demethylase, reductase subunit	Carbon cycling	Polyphenol (Methoxyphenols) cycling	guaiacol conversion to catechol	-	K23527	P0DPQ8
AF-P94405-F1-model_v4	bsdC	Phenolic acid decarboxylase	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to 4-hydroxybenzoate	4.1.1.61	K01612; K16239	P94405
AF-P94404-F1-model_v4	bsdb	Probable UbiX-like flavin prenyltransferase	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to 4-hydroxybenzoate	2.5.1.129	K03186	P94404
AF-C0H3U9-F1-model_v4	bsdD	Protein BsdD	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to 4-hydroxybenzoate	4.1.1.61	K21759	C0H3U9
AF-P15245-F1-model_v4	pheA	Phenol hydroxylase	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to catechol	1.14.13.7	K03380	P15245
AF-P19732-F1-model_v4	dmpN	Phenol 2-monooxygenase, oxygenase component DmpN	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to catechol	1.14.13.243; 1.14.13.244	K16242	P19732
AF-P19730-F1-model_v4	dmpL	Phenol 2-monooxygenase, oxygenase component DmpL	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to catechol	1.14.13.243; 1.14.13.244	K16243	P19730
AF-P19731-F1-model_v4	dmpM	Phenol 2-monooxygenase, stimulatory component DmpM	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to catechol	1.14.13.243; 1.14.13.244	K16244	P19731
AF-P19733-F1-model_v4	dmpO	Phenol 2-monooxygenase, oxygenase component DmpO	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to catechol	1.14.13.243; 1.14.13.244	K16245	P19733
AF-P19734-F1-model_v4	dmpP	Phenol 2-monooxygenase, reductase component DmpP	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to catechol	1.14.13.243; 1.14.13.244	K16246	P19734
AF-P19729-F1-model_v4	dmpK	Phenol 2-monooxygenase, auxiliary component DmpK	Carbon cycling	Polyphenol (Phenol) cycling	phenol conversion to catechol	1.14.13.243; 1.14.13.244	K16249	P19729
AF-P57793-F1-model_v4	pgr	Phloroglucinol reductase	Carbon cycling	Polyphenol (Phloroglucinol) cycling	phloroglucinol degradation	1.3.1.57	-	P57793
AF-P80563-F1-model_v4	pgthA	Pyrogallol hydroxytransferase large subunit	Carbon cycling	Polyphenol (Pyrogallol) cycling	pyrogallol conversion to phloroglucinol	1.97.1.2	-	P80563
AF-P80564-F1-model_v4	pgthB	Pyrogallol hydroxytransferase small subunit	Carbon cycling	Polyphenol (Pyrogallol) cycling	pyrogallol conversion to phloroglucinol	-	-	P80564
AF-Q60FX6-F1-model_v4	rdc	Gamma-resorcylate decarboxylase	Carbon cycling	Polyphenol (Resorcinol) cycling	resorcylic acid degradation	4.1.1.103	K20941	Q60FX6
AF-O84992-F1-model_v4	marA	Maleylacetate reductase 1	Carbon cycling	Polyphenol (Resorcinol) cycling	resorcylic acid degradation	1.3.1.32	K00217	O84992
AF-Q5PXQ6-F1-model_v4	chqB	Hydroxyquinol 1,2-dioxygenase	Carbon cycling	Polyphenol (Resorcinol) cycling	resorcylic acid degradation	1.13.11.37	K04098 	Q5PXQ6
AF-A1IIX2-F1-model_v4	graA	FADH(2)-dependent resorcinol hydroxylase, oxygenase component	Carbon cycling	Polyphenol (Resorcinol) cycling	resorcylic acid degradation	1.14.14.27; 1.14.13.220; 1.14.13.219	K20942; K20944; K20943	A1IIX2
AF-K9UV87-F1-model_v4	vdh	Vanillin dehydrogenase	Carbon cycling	Polyphenol (Vanillin) cycling	vanillin conversion to vanillate	1.2.1.67	K21802	K9UV87
AF-P56216-F1-model_v4	vaoa	Vanillyl-alcohol oxidase	Carbon cycling	Polyphenol (Vanillyl alcohol) cycling	vanillyl-alcohol conversion to vanillate	1.1.3.38	K20153	P56216
AF-Q52383-F1-model_v4	tcbAa	Chlorobenzene dioxygenase, large subunit of terminal oxygenase	Carbon cycling	Aromatic hydrocarbon cycling	benzene conversion to catechol	1.14.12.3; 1.14.12.111.14.12.26	K03268	Q52383
